Date,Temperature (°C),Max Temperature (°C),Min Temperature (°C),Humidity (%),Wind Speed (m/s),Precipitation (mm),Cloud Cover (%)
2024-10-18,10.7,20.0,3.7,70,2.5,0.0,0
2024-10-19,12.3,21.9,4.8,69,2.4,0.0,7
2024-10-20,12.9,23.3,5.9,76,1.7,0.0,31
2024-10-21,14.1,24.8,5.6,72,1.7,0.0,0
2024-10-22,14.9,25.2,5.9,70,1.3,0.0,0
2024-10-23,16.7,26.3,8.9,72,1.6,0.0,0
2024-10-24,17.1,23.7,10.7,68,3.0,0.0,1
2024-10-25,13.6,23.7,4.8,69,2.1,0.0,1
2024-10-26,18.5,26.7,12.2,69,2.7,0.0,23
2024-10-27,13.9,18.1,11.1,71,2.6,7.5,95
2024-10-28,12.3,19.6,6.3,79,1.5,0.0,35
2024-10-29,13.3,20.4,6.3,79,1.4,0.0,54
2024-10-30,18.7,25.9,13.0,80,2.1,0.0,38
2024-10-31,19.3,26.3,13.7,78,3.3,0.0,33
2024-11-01,20.6,25.9,16.3,80,3.4,0.0,59
2024-11-02,17.3,19.3,12.2,66,2.6,0.0,55
2024-11-03,12.8,18.9,7.4,71,2.9,0.0,25
2024-11-04,14.1,20.7,8.5,80,2.4,0.0,79
2024-11-05,17.7,25.2,11.9,82,2.8,0.0,35
2024-11-06,19.7,26.7,13.7,84,2.0,0.0,74
2024-11-07,21.5,26.3,18.9,87,2.3,11.0,59
2024-11-08,20.9,26.3,18.1,83,2.1,0.0,36
2024-11-09,14.3,18.9,9.3,52,3.5,0.0,30
2024-11-10,12.4,19.3,5.6,80,1.6,3.8,91
2024-11-11,17.0,22.2,14.4,93,3.2,10.3,62
2024-11-12,14.6,20.0,9.6,65,3.4,0.0,6
2024-11-13,8.5,13.7,4.1,64,3.0,0.0,43
2024-11-14,8.2,10.7,5.2,91,3.1,33.0,100
2024-11-15,10.6,14.8,7.8,89,3.6,0.0,76
2024-11-16,10.1,17.4,5.2,79,2.6,0.0,0
2024-11-17,9.5,18.5,2.2,82,2.0,0.0,34
2024-11-18,13.1,21.5,7.4,82,2.0,0.0,75
2024-11-19,14.1,20.4,7.4,86,2.3,0.0,82
2024-11-20,16.5,18.5,13.0,93,3.0,21.0,93
2024-11-21,9.2,13.7,3.0,47,4.1,0.0,29
2024-11-22,5.1,9.3,0.4,55,4.7,0.0,29
2024-11-23,9.0,15.6,4.8,60,4.1,0.0,15
2024-11-24,8.4,17.8,0.4,75,2.1,0.0,17
2024-11-25,10.7,20.7,0.7,76,2.3,0.0,13
2024-11-26,13.6,18.5,7.0,79,3.4,2.5,63
2024-11-27,9.7,16.3,3.3,72,2.3,0.0,65
2024-11-28,13.9,19.3,8.1,79,4.9,5.0,65
2024-11-29,5.8,11.1,0.4,62,3.0,0.0,13
2024-11-30,1.4,7.8,-4.1,58,2.1,0.0,9
2024-12-01,3.9,10.7,-1.1,62,1.1,0.0,30
2024-12-02,2.5,5.9,-1.9,56,2.1,0.0,26
2024-12-03,0.7,5.2,-1.9,55,1.5,0.0,23
2024-12-04,1.9,8.1,-5.2,57,2.7,0.0,3
2024-12-05,7.5,14.1,-1.1,44,4.4,0.0,7
2024-12-06,-1.2,3.7,-4.4,49,2.1,0.0,1
